Altium Designer Pick and Place Locations
I:\DataSheets\ASM2464PD DEMO Board B2 [Altium Designer]\Pick Place for ASM2464PD - B2 Sample.csv

========================================================================================================================
File Design Information:

Date:       11/06/25
Time:       17:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C9","100n","BottomLayer","C0402","920.358","774.244","90","PIN2"
"C10","2.2u","BottomLayer","C0402","1108.371","926.618","0","PIN31 20u->22u"
"C11","100n","BottomLayer","C0402","1041.442","1033.626","180","PIN31 20u->22u"
"C12","2.2u","BottomLayer","C0402","1041.442","819.610","180","PIN31 20u->22u"
"C13","10u","BottomLayer","C0402","974.513","997.957","180","PIN31 20u->22u"
"C14","100n","BottomLayer","C0402","1175.300","1069.295","0","PIN31 20u->22u"
"C15","2.2u","BottomLayer","C0402","1175.301","926.618","180","PIN31 20u->22u"
"C16","10u","TopLayer","C0402","1400.584","787.639","0","PIN31 20u->22u"
"C17","2.2u","BottomLayer","C0402","1175.300","855.279","0","PIN53"
"C18","100n","BottomLayer","C0402","1175.300","819.610","0","PIN53"
"C19","2.2u","BottomLayer","C0402","974.513","1033.626","180","PIN53"
"C20","10u","BottomLayer","C0402","1108.371","1069.295","0","PIN53"
"C21","100n","BottomLayer","C0402","1242.229","1033.626","0","PIN53"
"C22","2.2u","BottomLayer","C0402","1242.229","997.956","0","PIN53"
"C23","10u","BottomLayer","C0402","991.793","774.321","90","PIN53"
"C24","2.2u","BottomLayer","C0402","1108.371","997.956","0","PIN20"
"C25","100n","BottomLayer","C0402","1175.300","997.956","0","PIN20"
"C27","100n","BottomLayer","C0402","1242.229","1069.295","0","PIN20"
"C28","2.2u","BottomLayer","C0402","1242.229","1104.964","0","PIN20"
"C29","2.2u","BottomLayer","C0402","1108.372","890.949","180","PIN25"
"C30","2.2u","BottomLayer","C0402","974.513","962.287","180","PIN25"
"C31","100n","BottomLayer","C0402","1175.300","1033.626","0","PIN20"
"C32","2.2u","BottomLayer","C0402","1175.300","962.287","0","PIN30"
"C33","2.2u","BottomLayer","C0402","1041.442","1069.295","180","PIN30"
"C34","1u","BottomLayer","C0402","1269.940","1182.861","270",""
"C35","2.2u","BottomLayer","C0402","1041.442","997.957","180","PIN33"
"C36","2.2u","BottomLayer","C0402","1041.442","1104.965","180","PIN33"
"C37","2.2u","BottomLayer","C0402","1041.442","962.287","180","PIN36"
"C38","2.2u","BottomLayer","C0402","974.513","890.949","180","PIN36"
"C39","2.2u","BottomLayer","C0402","1108.371","819.610","180","PIN2"
"C40","10u","BottomLayer","C0402","1108.371","1033.626","0","PIN2"
"C41","2.2u","BottomLayer","C0402","974.513","1069.295","180","PIN2"
"C42","2.2u","BottomLayer","C0402","1041.442","890.949","180","PIN2"
"C43","10u","BottomLayer","C0402","1108.371","783.941","180","PIN31 20u->22u"
"C44","2.2u","BottomLayer","C0402","974.513","855.279","180","PIN2"
"C45","2.2u","BottomLayer","C0402","1041.442","926.618","180","PIN2"
"C46","10u","BottomLayer","C0402","1175.300","890.948","0","PIN53"
"C47","2.2u","BottomLayer","C0402","974.513","926.618","180","PIN2"
"R1","4.7K 1%","BottomLayer","R0402","1242.229","890.949","0",""
"R3","4.7K 1%","BottomLayer","R0402","1175.300","783.941","0",""
"R4","12.1K 1%","BottomLayer","R0402","974.513","1104.964","0",""
"R6","100K 1%","BottomLayer","R0402","1236.000","1183.000","90",""
"R12","0","BottomLayer","R0402","786.814","1239.601","90",""
